ligand_entry,SMILES,ligand_type,exp_yield,exp_ee,exp_deldelG,nbo_O1_cmc,nbo_C2_cmc,nbo_X3_cmc,nbo_C4_cmc,nbo_N5_cmc,nbo_C6_cmc,nbo_C7_cmc,nbo_O8_cmc,nbo_Co_cmc,da_C2_X3_C4_N5_cmc,bl_OCo_cmc,bl_NCo_cmc,ba_OCoN_cmc,vbur_Co_cmc,vbur_oct2_cmc,vbur_oct3_cmc,vbur_oct4_cmc,vbur_oct5_cmc,vbur_oct6_cmc,vbur_oct7_cmc,IE_cmc,nbo_O/S1_fl,nbo_C2_fl,nbo_X3_fl,nbo_C4_fl,nbo_N5_fl,nbo_C6_fl,nbo_C7_fl,nbo_O8_fl,da_C2_X3_C4_N5_fl,s_C2_Bmin_fl,s_C2_Bmax_fl,s_C2_L_fl,s_C6_Bmin_fl,s_C6_Bmax_fl,s_C6_L_fl
EL1,O/C(C1=CC=CC=C1)=C\C2=N[C@@H](C3=CC=CC=C3)CO2,enol,38,51,-0.767382263,-0.59364,0.45158,-0.46876,0.57509,-0.39966,-0.09494,-0.08568,-0.44941,0.61886,-0.195,1.87235,1.84139,94.504,72.68,2.4,2.6,6.7,7.7,4,8.1,-0.00364465,-0.6727,0.425,-0.43414,0.55149,-0.58057,-0.10286,-0.08133,-0.46983,1.361,2.01,5.51,6.4,2.19,9.17,6.45
EL2,OC(/C=C/C1=CC=CC=C1)=C\C2=N[C@@H](C3=CC=CC=C3)CO2,enol,15,59,-0.924118376,-0.60208,0.41875,-0.4545,0.56917,-0.39834,-0.09542,-0.0857,-0.44891,0.6214,-0.193,1.87329,1.84201,94.791,72.57,2,3,7.1,7.2,4,8,-0.003666825,-0.67692,0.39502,-0.42067,0.54608,-0.57738,-0.1038,-0.08142,-0.46985,0.911,2.11,5.36,8.55,2.24,11.37,6.45
AL1,O/C(C1=C(C)C=C(C)C=C1C)=N\C2=N[C@@H](C3=CC=CC=C3)CO2,amide,53,58,-0.903385886,-0.58734,0.64705,-0.60709,0.72135,-0.41545,-0.09255,-0.08544,-0.44024,0.60924,2.853,1.87732,1.83861,92.362,73.39,2.1,3.9,6.7,7.4,4.1,8,-0.004425062,-0.66481,0.65169,-0.58486,0.68861,-0.60622,-0.0985,-0.08365,-0.45507,1.036,2.27,5.86,7.45,2.4,10.72,6.45
AL2,O/C(C1=CC(OC)=C(OC)C(OC)=C1)=N\C2=N[C@@H](C3=CC=CC=C3)CO2,amide,29,44,-0.643970806,-0.58789,0.63645,-0.60574,0.72121,-0.41929,-0.09253,-0.085,-0.43968,0.61035,0.637,1.87806,1.84046,92.117,72.2,2.1,2.7,6.9,7.4,3.9,7.9,-0.003926659,-0.66703,0.64443,-0.58811,0.69426,-0.61285,-0.09782,-0.08018,-0.45545,0.535,2.88,5.41,8.35,2.41,10.39,6.45
AL3,O/C(C1=CC(C)=CC(C)=C1)=N\C2=N[C@@H](C3=CC=CC=C3)CO2,amide,23,59,-0.924118376,-0.58384,0.63659,-0.60136,0.72176,-0.41707,-0.09278,-0.08535,-0.43753,0.61119,0.959,1.87866,1.84021,92.097,72.19,2,2.6,6.7,7.5,4.1,8,-0.004020151,-0.66547,0.64324,-0.58419,0.69383,-0.61191,-0.09814,-0.08013,-0.45482,0.34,2.19,5.36,6.45,2.32,9.98,6.45
AL4,O/C(C1=CC(C(C)(C)C)=CC(C(C)(C)C)=C1)=N\C2=N[C@@H](C3=CC=CC=C3)CO2,amide,60,60,-0.94522963,-0.58421,0.63998,-0.60274,0.72234,-0.4174,-0.09271,-0.0853,-0.43787,0.61128,0.838,1.87824,1.84048,92.083,72.2,2.2,2.5,6.5,7.8,4,7.9,-0.004006193,-0.66482,0.64654,-0.58687,0.69451,-0.61246,-0.09796,-0.08009,-0.45529,0.554,3.26,5.73,7.45,2.46,11.31,6.45
AL5,O/C(C1=CC(C)=C(C)C=C1)=N\C2=N[C@@H](C3=CC=CC=C3)CO2,amide,48,59,-0.924118376,-0.58473,0.63584,-0.6025,0.72194,-0.4176,-0.09283,-0.08527,-0.43788,0.6114,0.871,1.87889,1.8402,92.122,72.15,2.4,2.2,6.5,8,3.8,8.1,-0.003969666,-0.66566,0.64355,-0.58664,0.69386,-0.61314,-0.09806,-0.07995,-0.45536,0.322,2.07,5.34,7.45,2.2,9.81,6.45
AL6,O/C(C(C)(C)C)=N\C1=N[C@@H](C2=CC=CC=C2)CO1,amide,22,44,-0.643970806,-0.58721,0.68823,-0.62275,0.72551,-0.41875,-0.09254,-0.08559,-0.43666,0.61043,1.732,1.88116,1.84155,91.917,72.23,2.5,2.4,6.4,8,3.8,7.8,-0.00420374,-0.67843,0.67835,-0.59429,0.69478,-0.609,-0.09868,-0.08055,-0.45389,0.188,2.84,5.36,4.2,2.32,7.92,6.45
AL7,O/C(C1=CC(OC)=C(OC)C(OC)=C1)=N\C2=N[C@@H](C(C)C)CO2,amide,28,37,-0.529684075,-0.5894,0.63483,-0.60285,0.72546,-0.42738,-0.06507,-0.09567,-0.43921,0.60572,4.92,1.87656,1.84851,92.604,71.95,1.9,2.8,6.9,7.5,4.4,7.5,0.002006153,-0.66963,0.64243,-0.58683,0.69325,-0.6171,-0.0712,-0.0882,-0.45646,0.731,2.89,5.42,8.35,2.81,10.48,4.25
AL8,O/C(C(C)(C)C)=N\C1=N[C@@H](C2=CC=CC=C2)[C@@H](C3=CC=CC=C3)O1,amide,18,48,-0.713182206,-0.60055,0.68589,-0.61347,0.73008,-0.41442,-0.07869,0.07125,-0.44214,0.61299,1.568,1.88364,1.8395,91.841,72.42,2.4,3.4,7.1,7.3,3.8,7.2,-0.004100699,-0.67694,0.68061,-0.59828,0.69577,-0.60746,-0.08354,0.07205,-0.45811,0.49,2.84,7.14,4.2,2.35,7.78,6.45
